Title,Author,Description,Publishment_year,Num_of_pages,Bio-description 
"
Żeby nie było zgorszenia. Ofiary mają głos
","['Artur Nowak', 'Małgorzata Szewczyk-Nowak']","Polski Spotlight - cała prawda o molestowaniu w Kościele. „Ksiądz więził i gwałcił”. „Kapłan molestował ministranta”. Takie tytuły biją po oczach, podnoszą oglądalność i zwiększają nakłady gazet. Ale nie słychać w nich zbyt głośno głosu ofiar. Ich ból ginie niezauważony, bo w centrum uwagi są sprawcy w sutannach. To wyjątkowa książka, która daje głos ofiarom. Obok opisów przemocy seksualnej i poniżenia znajdziecie tu zapis bezkarności sprawców, nieświadomości rodziców i krzywdy dzieci. Krzywda przeradza się w długotrwałą traumę, która prowadzi do prób samobójczych lub uzależnień. Każda z rozmów to osobista droga krzyżowa bohaterów, którzy dopiero po latach zdecydowali się opowiedzieć autorom o swoich dramatycznych przeżyciach.  Autorzy z reporterską dociekliwością badają temat molestowania. Rozmawiają z osobami, które na co dzień zajmują się problemem pedofilii w Kościele katolickim. Pokazują, w jaki sposób Kościół w Polsce ochrania księży pedofilów. Tabuizowanie tego tematu przez lata służyło sprawcom. Czas przerwać milczenie - również dla dobra Kościoła, ale przede wszystkim - dla dobra dzieci. ""Po przeczytaniu tej książki już sam nie wiem, co bardziej wstrząsa - gwałty księży na dzieciach i młodzieży, czy hipokryzja i znieczulica Kościoła. Małgorzata i Artur, poprzez świetne przeprowadzone rozmowy z ofiarami księży, po mistrzowsku pokazują jedno i drugie."" Marcin Wójcik  ",2018,224,"[['Artur Nowak - adwokat, wcześniej orzekał w sądzie. Specjalizuje się w sprawach karnych, wielokrotnie w swojej praktyce reprezentował pokrzywdzonych i sprawców w postępowaniach dotyczących czynów pedofilskich. Autor reportażu (wspólnie z Małgorzatą Szewczyk-Nowak) ""Żeby nie było zgorszenia. Ofiary mają głos"", powieści ""Kroniki opętanej"" oraz zbioru wywiadów ""Dzieci, które gorszą"".'], ['Małgorzata Szewczyk-Nowak - psycholog, psychoterapeuta i pedagog. Ukończyła psychologię kliniczną i pedagogikę resocjalizacyjną na Uniwersytecie im. Adama Mickiewicza w Poznaniu. Swoją wiedzę pogłębiała w Szkole Psychoterapii Poznawczo-Behawioralnej Uniwersytetu SWPS. Posiada uprawnienia pedagogiczne.']]"
"
Psychiczne życie władzy. Teorie ujarzmienia
",['Judith Butler'],"Jak to się dzieje, że nie tylko pragniemy władzy, ale potrzebujemy jej do życia? Judith Butler, czerpiąc z teorii Foucaulta i psychoanalizy, pokazuje, jak władza stwarza podmiot w jego najbardziej intymnym wymiarze. Rzeczywiście niebezpieczne we władzy nie są represje czy zakazy, ale to, że składa nam ona obietnicę istnienia i miłości – obietnicę, w którą musimy uwierzyć, by stać się podmiotami czy też stać się „sobą”. Nie wszystko jednak stracone –ponieważ władza nigdy nie jest ze sobą tożsama ani stabilna, mamy wpływ na jej działanie, możemy ją podważać i buntować się.  Niniejsza książka w nowatorski sposób łączy w sobie elementy teorii społecznej, filozofii i psychoanalizy, przedstawiając dokładniejszą analizę teorii uformowania podmiotu, obecną w innych pracach Butler, takich jak Bodies That Matter: On the Discursive Limits of „Sex” czy Uwikłani w płeć: Feminizm i polityka tożsamości.",0,288,"[['Judith Butler (1956)', 'amerykańska filozofka, profesorka literatury porównawczej i retoryki University of California w amerykańskim Berkeley, zajmuje się teoriami władzy, seksualności, tożsamości i płci. Jej najbardziej znaną książką jest wydana w 1990 roku Uwikłani w płeć. Feminizm i polityka tożsamości, która dała początek teorii queer (wyd. pol. Wydawnictwo Krytyki Politycznej, Warszawa 2008).']]"
"
Jak znaleźć się po właściwej stronie tęczy?
",[''],"Najlepiej udać się tam razem z Krzysztofem Tomasikiem, który patrzy na historię Polski i ważne dla jej dziejów postacie przez tęczowe okulary. W ""Homobiografiach"" rzuca nowe światło na takie osobowości jak m.in. Maria Konopnicka i Jan Lechoń, natomiast w ""Gejerelu"", jak sam tytuł wskazuje, wyjmuje trupy pochowane w różowych teczkach służb specjalnych. To wspaniałe propozycje dla tych, którym zbrzydła heteronorma!",0,0,[]
"
Jak mieć piątkę z ekonomii?
",['Thomas Piketty'],"Piątka to wysoka ocena, ale bez znajomości Piketty’ego nie będzie się miało nawet trójki. Oprócz ""Kapitału w XXI wieku"", którego nikomu chyba nie musimy przedstawiać, polecamy także inne książki słynnego ekonomisty – ""Czy można uratować Europę?"" oraz najnowszą – ""Do urn obywatele!"" W naszym „pikiecie” – taniej! ",0,0,"[['Thomas Piketty (1971)', 'francuski ekonomista, absolwent m.in. London School of Economics, dyrektor ds. badań w École des hautes études en sciences sociales (EHESS), współzałożyciel i profesor Paris School of Economics. W 2012 roku zaliczony przez „Foreign Policy” do grona stu najbardziej wpływowych intelektualistów na świecie. Nakładem Wydawnictwa Krytyki Politycznej w ukazały się w Polsce jego najważniejsze książki: Kapitał w XXI wieku, Ekonomia nierówności i Czy można uratować Europę?']]"
"
Jak mieć piątkę minus z ekonomii?
",['Thomas Piketty'],"Bez znajomości Piketty’ego piątka z ekonomii jest niemożliwa. Oprócz 3-częściowego „pikietu”, polecamy także pakiet nieco odchudzony – zawiera ""Kapitał w XXI wieku"", którego nikomu chyba nie musimy przedstawiać, oraz najnowszą książkę słynnego ekonomisty – ""Do urn obywatele!"" W szczuplejszym „pikiecie” – nadal taniej! ",0,0,"[['Thomas Piketty (1971)', 'francuski ekonomista, absolwent m.in. London School of Economics, dyrektor ds. badań w École des hautes études en sciences sociales (EHESS), współzałożyciel i profesor Paris School of Economics. W 2012 roku zaliczony przez „Foreign Policy” do grona stu najbardziej wpływowych intelektualistów na świecie. Nakładem Wydawnictwa Krytyki Politycznej w ukazały się w Polsce jego najważniejsze książki: Kapitał w XXI wieku, Ekonomia nierówności i Czy można uratować Europę?']]"
"
Jak mieć serce po lewej stronie?
",[''],"I tu zaskoczenie – nie wystarczy się po prostu urodzić ze względnie prawidłowym układem krążenia. Dodać do tego należy między innymi uważną lekturę lewicowej publicystyki. Przykładowo – nr 44, 45 oraz 46 „Krytyki Politycznej” – to idealny pakiet utrzymujący serce po właściwej stronie, a kupując trzy naraz, płacisz mniej. ",0,0,[]
"
Jak rodziła się polska demokracja?
",[''],"W bólach, trudach i mękach. Z wieloma komplikacjami. Pierwszy demokratycznie wybrany prezydent, Gabriel Narutowicz, został zabity, czego przyczyny i skutki analizuje Paweł Brykczyński w książce ""Gotowi na przemoc"". Z kolei Andrzej Leder w ""Prześnionej rewolucji"" przygląda się narzuconej z góry, wymazanej z pamięci, ale jednak rewolucji, która dokonała się w Polsce w latach 1939-1956. Dla tych, którzy chcą zrozumieć więcej – lektury obowiązkowe.",0,0,[]
"
Jak być grzeczną dziewczynką?
",[''],"Nie wiemy, co więcej, wcale nie chcemy wiedzieć. Interesują nas niegrzeczni chłopcy i niegrzeczne dziewczynki. Zwłaszcza te ostatnie robią ostatnio małą rewolucję w literaturze zbierając najważniejsze nagrody literackie i wnosząc nową jakość w nasze doświadczenia czytelnicze. W hołdzie wszystkim niegrzecznym dziewczynkom gorąco polecamy ""Fanfik"" Natalii Osińskiej i ""Ma być czysto"" Anny Cieplak.",0,0,[]
"
Jak rozmawiać z prawicą?
",[''],"Prawica prawicy nierówna. Niekiedy da się rozmawiać przy pomocy prostych argumentów, czasem jednak trzeba zrozumieć mechanizmy, m.in. wiedzieć dobrze, ""Co to jest populizm?"" Przyda nam się też dogłębne rozumienie słowa ""Postprawda"" i sensowna odpowiedź na pytanie ""Co po Europie?"" Być może wtedy wywołana przez prawicowy populizm ""Europejska wojna domowa"" będzie dla nas nieco mniej zagmatwana i – kto wie? – uda nam się nawrócić jakiegoś/jakąś populistę/populistkę?",0,0,[]
"
Dziękuję za świńskie oczy. Jak krzywdzimy...
",['Dariusz Gzyra'],"Dariusz Gzyra uważa, że w świecie, w którym zło jest wszechobecne, widać wyraźnie, ile jest możliwości czynienia dobra. Weganizm postrzega jako kontestację systemu manipulującego ludźmi, a rozwijanie krytycznego myślenia jako podstawowy akt oporu W Polsce każdego roku dla smaku, kaprysu i mody zabija się miliony zwierząt. Codziennie po cichu na fermach przemysłowych i w rzeźniach giną kurczaki, świnie, cielęta, norki oraz wiele innych zdolnych do odczuwania zwierząt. Choć większość Polek i Polaków deklaruje miłość do zwierząt i jest przekonana, że odczuwają one ból tak samo jak ludzie, a połowa z nas ma pod opieką jakiegoś zwierzęcego pupila, to mało kto na poważnie traktuje zwierzęcą krzywdę. Ponieważ nie chcemy widzieć cierpienia i śmierci zwierząt, większość niezliczonych przypadków przemocy wobec nich to działanie na zlecenie. Zaplanowane, metodyczne i standardowe. Zgadzamy się na stosowanie przemocy przez innych, abyśmy sami mogli się cieszyć smakiem mięsa i innych produktów pochodzących od zwierzęcych. Ale czy to zwalnia nas z odpowiedzialności? Dziękuję za świńskie oczy to ważny głos w debacie na temat naszego stosunku do innych zwierząt. Autor nie tylko pokazuje, że zwierzęta są niezastąpionym źródłem wiedzy o świecie, w tym o ludziach, ale również jak bardzo potrzebna jest prowegańska polityka rozwoju.    ",2018,432,"[['Działacz społeczny, publicysta, weganin od blisko dwudziestu lat, doktorant w Instytucie Filozofii i Socjologii Uniwersytetu Pedagogicznego im. KEN w Krakowie, Członek Polskiego Towarzystwa Etycznego oraz Laboratorium Animal Studies', 'Trzecia Kultura, jeden z redaktorów czasopisma „Zoophilologica. Polish Journal of Animal Studies”.']]"
"
GEJEREL. Mniejszości seksualne w PRL-u
",['Krzysztof Tomasik'],"Czy Andrzej Wajda zamierzał zrobić film o miłosnej relacji „Zośki” i „Rudego”? Kim był brat „Wampira z Zagłębia” i jaki miał wpływ na przebieg słynnego procesu z lat 70.? Dlaczego tak mało wciąż wiemy o akcji „Hiacynt”? Gdzie są „różowe teczki”? Do czego klucz kryją powieści sensacyjne z serii „Jamnik”? Krzysztof Tomasik wertuje reportaże, zapomnianą literaturę, akta spraw sądowych, wypowiedzi autorytetów i polityków, pamiętniki i listy. Czas, w którym autor spędził między innymi w archiwum IPNu skutkuje tym, że oddajemy w ręce czytelnika reportaż o PRL-u jeszcze pełniejszy i jeszcze bardziej fascynujący. ",2018,400,"[['Krzysztof Tomasik –\u2009publicysta, biografista, badacz polskiego homoseksualizmu. Autor głośnych książki Homobiografie (2008, wyd. II - 2014), Seksbomby PRL-u (2014), Demony seksu (2015), Grażyna Hase. Miłość, moda, sztuka (2016), redaktor zbioru PRL-owskich reportaży Mulat w pegeerze (2011).']]"
"
Rosja – wielkie zmyślenie. Od wolności...
",['Arkadij Ostrowski'],"Rosja to kraj idei, a media odgrywają w nim wyjątkowo istotną rolę. W 1918 roku Iwan Pawłow, rosyjski fizjolog znany z pracy nad odruchami warunkowymi, wygłosił wykład, w którym stwierdził, że choć zadanie każdego umysłu polega na dokładnym zrozumieniu rzeczywistości, w Rosji „interesują nas przede wszystkim słowa i nie zwracamy szczególnej uwagi na rzeczywistość”. Być może właśnie dlatego Rosją w XX wieku rządzili literaci (taki właśnie zawód miał wpisany w paszporcie Lenin, a Stalin za młodu pisał wiersze). Arkadij Ostrowski opisał historię najnowszą Związku Radzieckiego i Rosji właśnie z perspektywy literatów, inteligentów i tych, którzy przejęli ich rolę po upadku ZSRR – ludzi mediów i magnatów medialnych. Opisuje fantastyczne wolty, wielkie kryzysy i sposób, w jaki rosyjska mediokracja stworzyła i namaściła na władcę Władimira Putina. Jak powiedział kiedyś Silvio Berlusconi: „To, czego nie ma w telewizji, nie istnieje”. Putin poszedł o krok dalej: to, co nie istnieje, może dzięki potędze telewizji stać się realne. Poznajcie medialne tajemnice Kremla!",0,400,"[['Arkadij Ostrowski', 'dziennikarz, moskiewski korespondent „Financial Timesa”, obecnie redaktor w „The Economist”. Za książkę Rosja – wielkie zmyślenie otrzymał Nagrodę Orwella w 2016 roku.']]"
"
Kroniki opętanej
",['Artur Nowak'],"Marta ma kochających rodziców i nigdy nie doświadczyła zła. Idealizuje życie i wierzy w ludzi. Jako nastolatka przeżywa pierwszą miłość. Z dnia na dzień jej życie staje się jednak piekłem. Na skutek rodzinnej tragedii Marta trafia pod opiekę głęboko wierzących babci i wuja. Jej nowi opiekunowie, nie rozumiejąc, że dziewczyna mierzy się z traumą, postanawiają zasięgnąć pomocy „specjalisty” – znajomego księdza egzorcysty, któremu w terapii pomaga trzech osiłków. Marta zostaje uznana za opętaną przez Szatana...W Polsce, gdzie coraz więcej dzieci mierzy się z zaburzeniami psychicznymi, dostęp do profesjonalnej opieki jest trudny, a egzorcystów coraz więcej, ta zainspirowana faktami historia mogłaby się przydarzyć niejednej nastolatce. Marta miała pecha, że trafiło na nią.Kroniki opętanej to odważny thriller obyczajowy oraz wstrząsająca historia, pokazująca, co nam grozi w świecie, którym rządzą kapłani. ",2018,288,"[['Artur Nowak - adwokat, wcześniej orzekał w sądzie. Specjalizuje się w sprawach karnych, wielokrotnie w swojej praktyce reprezentował pokrzywdzonych i sprawców w postępowaniach dotyczących czynów pedofilskich. Autor reportażu (wspólnie z Małgorzatą Szewczyk-Nowak) ""Żeby nie było zgorszenia. Ofiary mają głos"", powieści ""Kroniki opętanej"" oraz zbioru wywiadów ""Dzieci, które gorszą"".']]"
"
Krytyka Polityczna nr 46
",['Opracowanie Zbiorowe'],"Ciemność, która świeci „Polskie obozy śmierci”, „szmalcownicy” – polska historia już dawno nie była tak popularna na świecie. Jak to się stało, że nasza debata publiczna tak łatwo wróciła do pozycji „niewiedzy” z początku lat 2000.? Jak gdyby wcale nie odbyła się cała ta dyskusja wokół Jedwabnego, wokół polskiej obecności na obrzeżach Zagłady. W czyim imieniu wówczas przepraszaliśmy? Odpowiedzi na te pytania szukamy, rozmawiając o polskiej polityce historycznej. Pretekstem do rozmowy nie były wyłącznie niedawne wydarzenia wokół nowelizacji ustawy o IPN i dyskusja o „szkalowaniu narodu polskiego”, ale też gwałtowny spór o Muzeum II Wojny Światowej. Jaka wizja Polski i Polaków wyłania się z tych wydarzeń? Podobno społeczeństwa potrafią prześnić swoje rewolucje. Być może warto zadać pytanie, o czym wtedy śnią? Czy o swojej niewzruszonej moralnej niewinności, czy może wręcz przeciwnie – o ciężkim wysiłku oczyszczenia z moralnego brudu? Co czują po przebudzeniu? Dumę czy raczej niesmak? Wśród autorów m.in. Jan Tomasz Gross, Elżbieta Janicka, Joanna Tokarska-Bakir, Jacek Leociak, Paweł Machcewicz, Marcin Kaliński, Zygmunt Bauman, Ahlam Shibli, Adam Szymczyk, Adelina Cimochowicz, Anda Rottenberg, Slavoj Žižek.",2018,352,[['']]
"
Jak urządzić Skrzatowisko
","['Ewa Łętowska', 'Krzysztof Pawłowski']","W Skrzatowisku mieszkają obok siebie skrzaty, elfy, krasnoludy, pokemony, smoki, trolle i gobliny. Każdy jest inny, każdy ma swoje troski i zwyczaje. Czasem się lubią, a czasem kłócą. Ale wszyscy chcą żyć razem. Co trzeba zrobić, żeby nie było kłótni w Skrzatowisku? Trzeba przestać krzyczeć, usiąść razem i napisać Konstytucję. Profesor Ewa Łętowska zna się na konstytucji jak mało kto i razem z Krzysztofem Pawłowskim pokazuje w swojej bajce, że konstytucja przydaje się każdej społeczności - od tej chwili ta sprawa będzie jasna także dla dzieci!",2018,56,"[['Ewa Łętowska', 'profesor nauk prawnych, członek rzeczywisty PAN, członek korespondent PAU, pierwsza rzecznik praw obywatelskich (1988-1992), sędzia Naczelnego Sądu Administracyjnego (1999-2002) i Trybunału Konstytucyjnego (2002-2011). Autorka książek, artykułów, esejów (nagroda PEN Club Polska), felietonów poświęconych prawu (konstytucyjne, cywilne, prawa człowieka) oraz audycji radiowych i telewizyjnych poświęconych muzyce poważnej. Współautorka (wraz z Krzysztofem Pawłowskim) dwóch książek dla dzieci: Matylda w Operze (2015), Matylda i Gala Stulecia (2016).foto:Adrian Grycuk | CC BY-SA 3.0 pl'], ['Krzysztof Pawłowski - filozof, autor książek Ktoś puka do naszych drzwi (2007), Na szczęście można mieć pecha (2011) oraz współautor (wraz z Ewą Łętowską) dwóch książek dla dzieci: Matylda w Operze (2015), Matylda i Gala Stulecia (2016).']]"
"
Berlińska depresja. Dziennik
",['Anda Rottenberg'],"Ta książka to zapis rocznego pobytu autorki w Berlinie. Wnikliwe notatki z lektur, intymne wspomnienia o rodzinie i przyjaciołach, szczere komentarze na temat wystaw i sztuki. Ale i zatroskane spojrzenie w Polskę, udział w protestach ulicznych jak i zaangażowanie w ochronę przyrody – od bluszczu na sąsiedniej kamienicy po Puszczę Białowieską. Anda Rottenberg w notatkach jawi się jako przenikliwa obserwatorka i aktywna uczestniczka życia społeczno- politycznego, a także jako wrażliwa odbiorczyni dzieł sztuki i literatury. Z mieszkania w berlińskiej dzielnicy Wannsee wspomina przeszłość i analizuje teraźniejszość. ""(…) uczestniczę w rozmaitych naukowych seminariach, zabieram głos w dyskusjach i biesiaduję. A także chodzę na koncerty i spotkania z ciekawymi ludźmi, wypożyczam i czytam książki, coś piszę, coś publikuję i obiecuję, że znów coś napiszę albo coś wygłoszę, albo zrobię jakąś wystawę. Z zewnątrz wygląda to tak, jakbym żyła w realnej rzeczywistości, a nie w jakimś wirtualnym balonie. Ale subiektywnie raczej płynę nad ziemią, jak jedna z moich ulubionych bohaterek ostatniej książki Olgi Tokarczuk, która już nie jest żywa, choć jeszcze nie umarła.""fragment książki",2018,352,"[['Anda Rottenberg (1944)', 'absolwentka historii sztuki Uniwersytetu Warszawskiego (1970). Autorka licznych wystaw, m.in.: Rzeźba w ogrodzie (1988), Gdzie jest brat twój, Abel? (1995), Warszawa-Moskwa 1900-2000 (2004), Obok. Tysiąc lat historii w sztuce (2011), Postęp i higiena (2014) oraz książek, m.in: Sztuka w Polsce 1945-2005 (2006), Przeciąg. Teksty o sztuce polskiej lat 80. (2009), autobiografii Proszę bardzo (2009) i wywiadu rzeki (wraz z Dorotą Jarecką) Rottenberg. Już trudno (2014). Prowadzi dział kultura w magazynie „Vogue Polska”. ']]"
"
Przedziwna sztuka porażki
",['Jack Halberstam'],"To książka o tym, jak dobrze ponosić porażkę, jak ponosić ją znowu i znowu, by – przywołując słowa Samuela Becketta – ""chybiać lepiej”. Porażka, zapominanie i wygłupy stanowią główną oś łączącą poszczególne rozdziały książki, w których Halberstam w brawurowy sposób analizuje kreskówki, mainstreamowe i awangardowe produkcje, popkulturę i sztukę wysoką. „Przedziwna sztuka porażki” to manifest kluczenia, improwizacji, mylenia się, kręcenia się w kółko, w których znaleźć możemy jednak zupełnie nieoczywisty nowy cel. Mając za przewodników SpongeBoba, Kanciastoportego i rybkę Nemo wyruszmy wraz z autorem w rejs, w którym „zamiast opierać się kresom i ograniczeniom, pozostańmy radośnie wierni wszystkim naszym nieuniknionym fantastycznym porażkom”.",2018,320,"[['Jack Halberstam (urodzony jako Judith Halberstam)', 'amerykański kulturoznawca, badającymiędzy innymi kulturę wizualną, media, sztukę queer i subkultury. Profesor UniwersytetuColumbia w Nowym Jorku. Opublikował między innymi Female Masculinity oraz GagaFeminism.foto:Joe Mabel | CC BY-SA 3.0']]"
"
Państwo, szkoła, klasy
",['Przemysław Sadura'],"Polscy rodzice (i dzieci) wprost uwielbiają szkołę. Tyle że brytyjską, jak wyemigrują. Dlaczego tę polską potępiają w czambuł, choć jej wyników zazdroszczą nam… Brytyjczycy? Czemu rolnicy, fryzjerki i hydraulicy podstawówki – poza wuefem i rówieśnikami – nie cierpią, a zawodówkę wspominają dobrze? Od kogo słyszymy legendy o gimnazjalnej Sodomie i Gomorze, choć przemocy było tam najmniej ze wszystkich rodzajów szkół? Po co i jak studiuje w Warszawie chłopskie dziecko z mazurskiej wsi, córka profesorskiej pary z Warszawy, syn nauczycielki spod Radomia? I wreszcie – czy PiS zaprowadza dziś w szkole porządek, pogłębia chaos, a może niszczy jeden z lepszych systemów oświaty w Europie? Socjolog Przemysław Sadura jeździ na Warmię i do Londynu, pyta ludzi o historie życia i metody kombinowania, czyta (ze zrozumieniem) statystyki, demaskuje mitologie – i tłumaczy dlaczego (prawie) każdą reformę, od punktów za pochodzenie Gomułki po sześciolatki Tuska trafia w naszym kraju szlag. Rodzicu, nauczycielu, polityku, dziennikarzu – czytajcie, bo to o was wszystkich. Jak nie dziś, to kiedyś, albo w przyszłości.",2017,320,"[['Przemysław Sadura (ur. 1977)\u2009', 'socjolog i publicysta. Wykłada w Instytucie Socjologii i na Wydziale Nauk Ekonomicznych Uniwersytetu Warszawskiego. Od 10 lat prowadzi badania społeczne dla organizacji pozarządowych i administracji publicznej. Zawodowo zwolennik aktywnych metod badawczych i pracy warsztatowej. Jest autorem m.in. podręcznika “Konsultacje w społeczności lokalnej”, wydanego przez IS UW i współautorem książki “Partycypacja. Przewodnik Krytyki Politycznej”. Współzałożyciel fundacji Pole Dialogu, członek zespołu Krytyki Politycznej.']]"
"
Postprawda
","[""Matthew d'Ancona""]","POSTPRAWDA – SŁOWO ROKU Co się za tym kryje? Wietnam, afera Watergate, Iran-Contras, krętactwa Clintona... i w końcu kłamstwo zostało uznane za normę. Przyzwyczailiśmy się do tego, że wszyscy kłamią. Sukces Trumpa i Brexit to jednak nowe zjawiska. Witamy na pustyni postprawdy. Czy w czasach postprawdy istnieje tylko relatywizm i osobiste przekonania, nie ma dziennikarskiej rzetelności, a „fake news” nie da się odróżnić od newsów? Matthew d'Ancona w przystępnie napisanej książce wyjaśnia, co kryje się za najczęściej przywoływanym słowem roku. Dziennikarz piszący od kilku dekad dla najważniejszych brytyjskich tytułów prasowych przekonuje, że stawka w walce o prawdę jest zbyt wysoka, by można było przejść obok tego obojętnie. Bo tak naprawdę nikt z nas nie chce żyć w świecie postprawdy.",2018,112,"[[""Matthew d'Ancona (1968)"", 'brytyjski dziennikarz i komentator telewizyjny. Wieloletni autor „Sunday Telegraph” i redaktor „The Spectator”. Pisze dziś m.in. dla „Guardiana”, „New York Timesa”, „GQ” i występuje w programie „Today” w telewizji BBC. Wydał m.in.Going East(2004),Nothing to Fear(2009),In It Together: The Inside Story of the Coalition(2014).']]"
"
Sztuka ze społecznością
",['Opracowanie Zbiorowe'],"Co to za czynność: wrzucać „piasty” do „bergerów” w fabryce traktorów Ursus? Co wydarzyło się w na szczecińskiej Platerøwce i jaki związek ma z tym kafkowska „dziura Babel”? Co robią indonezyjscy artyści, gdy praktykują nongkrong i jak dzięki temu stawiają opór kapitalizmowi? W książce Sztuka ze społecznością na te i inne fascynujące pytania odpowiadają czołowi praktycy i badacze działań artystycznych nastawionych na współpracę z lokalnymi społecznościami. Działania artystyczne ze społecznościami odkrywają niezwykłe, pobudzające i otwierające światy doznań oraz emocji. Sztuka ze społecznością jest podróżą do wnętrza niepokoju. Punktem wyjścia do zaproponowanego tu projektu sztuki jest realizowane od 2011 roku przez redaktorki i redaktora książki wielowątkowe przedsięwzięcie artystyczne ze społecznością warszawskiej dzielnicy Ursus. Służy ono za przypadek, mogący sugestywnie przedstawić podejście do sztuki, zaprezentowane w książce. Ścisły związek pomiędzy teorią i praktyką artystyczną stanowił również jedno z najważniejszych kryteriów doboru autorów i autorek publikowanych w książce wypowiedzi. Sztuka ze społecznością rekonstruuje tradycję tego typu podejścia do praktyk artystycznych, dostarcza ich współczesnych przykładów oraz analizuje je pod kątem oddziaływania społecznego na lokalną rzeczywistość poprzez sztukę. Książka stanowić ma „podręcznik” – być czymś, co zawsze ma się pod ręką, by poszukać wiedzy, inspiracji, motywacji i wsparcia w uprawianiu sztuki ze społecznością. Autorzy i autorki tekstów: Jaśmina Wójcik, Igor Stokfiszewski, Karolina Izdebska, Dorota Ogrodzka, Anna Cieplak i Joanna Wowrzeczka, Marianna Dobkowska i Krzysztof Łukomski, Tomasz Rakowski, Rafał Urbacki, Kuba Mikurda.",2018,320,[['']]
"
Nowy autorytaryzm
",['Maciej Gdula'],"Dlaczego Polacy głosują na PIS? Maciej Gdula pojechał do pewnego miasteczka na Mazowszu, żeby sprawdzić, dlaczego Polacy głosują na Prawo i Sprawiedliwość. Raport z jego badań zaskoczył komentatorów politycznych i krytyków obecnej władzy. Gdula pokazał, że polityczna oferta PiS to nie tylko 500+, ale też odpowiedź na rosnące aspiracje Polaków. Oferta ta trafia do ludzi, bo odgrywają oni określoną rolę w dramacie społecznym, którego scenarzystą i reżyserem jest Jarosław Kaczyński. Według Gduli PiS to zjawisko wymykające się szufladce „populizmu”, a kluczem do rozumienia drugich rządów Kaczyńskiego jest nowe pojęcie wprowadzone przez autora: neoautorytaryzm. Co z tego wynika dla Polski i dla opozycji? Przeczytajcie, bo to wiedza bezcenna – zwłaszcza w kontekście nadchodzących wyborów. ",2018,112,"[['Maciej Gdula (1977)', 'socjolog, badacz polskiego systemu klasowego, komentator i publicysta, wykłada w Instytucie Socjologii UW, współpracownik Instytutu Studiów Zaawansowanych. Wydał m.in. Trzy dyskursy miłosne (2009), Style życia i porządek klasowy (2012, razem z Przemysławem Sadurą) Oprogramowanie rzeczywistości społecznej (2015), Uspołecznienie i kompozycja (2016), Klasy w Polsce. Teorie, dyskusje, badania, konteksty (2017, razem z Michałem Sutowskim).']]"
"
Co po Europie?
",['Iwan Krastew'],"Unia Europejska się rozpada. Coraz głośniej słychać skrajne partie prawicowe i populistów. Wielka Brytania opuszcza wspólnotę. Kolejne kraje rozdziera polityczna destabilizacja wywołana przez fale emigracji z Bliskiego Wschodu, Północnej Afryki i Azji Południowej. Wschodniej flance Unii coraz bardziej zagraża Putinowska Rosja. Co czeka zatem Europę? Jaką przyszłość ma projekt europejski? I czy w ogóle ma przyszłość? W krótkiej, pisanej ze swadą książce, Iwan Krastew, jeden z najważniejszych europejskich intelektualistów, na przekór utartym opiniom pokazuje, że odpowiedzią na ten stan rzeczy nie jest ani przesadny optymizm, ani pesymistyczna rezygnacja. Potrzeba nam raczej wiary w Europę, ale Europę już inną niż ta, do której zdążyliśmy się przyzwyczaić.",2018,144,"[['Iwan Krastew (1965)', 'politolog, szef Centrum Strategii Liberalnych w Sofii, współzałożyciel think tanku European Council on Foreign Relations, związany z Instytutem Nauk o Człowieku w Wiedniu. Wydał m.in. Shifting Obsessions: Three Essays on the Politics of Anticorruption (2004), Demokracja nieufnych. Eseje polityczne (2013, Wydawnictwo Krytyki Politycznej) i Demokracja: przepraszamy za usterki (2015, Wydawnictwo Krytyki Politycznej). Jest członkiem Rady Instytutu Studiów Zaawansowanych.']]"
"
Życie Adelki
",['Adelajda Truścińska'],"Czy myśleliście kiedyś, że wasze życie nie ma sensu, nigdy nic nie osiągnięcie i najlepiej byłoby się zabić? Kultowa twórczyni polskiego facebooka Adelajda Truścińska myśli tak chyba codziennie i nie waha się tego opisywać. Jej zabawne, pełne uroku i absurdu opowieści dają niezwykły wgląd w losy pokolenia milenialsów, które łudziło się, że może być tylko lepiej, ale nie miało racji.",2018,168,"[['Adelajda Truścińska - urodzona w 1987 roku w Warszawie. Stypendystka Homines Urbani w Krakowie (2008), wystawa Fotografia rekurencyjna w Galerii Skalnej w Strzelinie (2014), udział w wystawie Ministerstwo Spraw Wewnętrznych. Intymność jako tekst w Muzeum Sztuki Współczesnej w Warszawie (2017).']]"
